,Week,Home_team,Away_team,Home_Line,Home_cover,home_SL_as_total,home_SL_compl_perc,home_SL_def_as_total,home_SL_def_comp_perc,home_SM_as_total,home_SM_compl_perc,home_SM_def_as_total,home_SM_def_comp_perc,home_SR_as_total,home_SR_compl_perc,home_SR_def_as_total,home_SR_def_comp_perc,home_DL_as_total,home_DL_compl_perc,home_DL_def_as_total,home_DL_def_comp_perc,home_DM_as_total,home_DM_compl_perc,home_DM_def_as_total,home_DM_def_comp_perc,home_DR_as_total,home_DR_compl_perc,home_DR_def_as_total,home_DR_def_comp_perc,home_LE_as_total,home_LE_compl_perc,home_LE_def_as_total,home_LE_def_comp_perc,home_LT_as_total,home_LT_compl_perc,home_LT_def_as_total,home_LT_def_comp_perc,home_LG_as_total,home_LG_compl_perc,home_LG_def_as_total,home_LG_def_comp_perc,home_M_as_total,home_M_compl_perc,home_M_def_as_total,home_M_def_comp_perc,home_RG_as_total,home_RG_compl_perc,home_RG_def_as_total,home_RG_def_comp_perc,home_RT_as_total,home_RT_compl_perc,home_RT_def_as_total,home_RT_def_comp_perc,home_RE_as_total,home_RE_compl_perc,home_RE_def_as_total,home_RE_def_comp_perc,away_SL_as_total,away_SL_compl_perc,away_SL_def_as_total,away_SL_def_comp_perc,away_SM_as_total,away_SM_compl_perc,away_SM_def_as_total,away_SM_def_comp_perc,away_SR_as_total,away_SR_compl_perc,away_SR_def_as_total,away_SR_def_comp_perc,away_DL_as_total,away_DL_compl_perc,away_DL_def_as_total,away_DL_def_comp_perc,away_DM_as_total,away_DM_compl_perc,away_DM_def_as_total,away_DM_def_comp_perc,away_DR_as_total,away_DR_compl_perc,away_DR_def_as_total,away_DR_def_comp_perc,away_LE_as_total,away_LE_compl_perc,away_LE_def_as_total,away_LE_def_comp_perc,away_LT_as_total,away_LT_compl_perc,away_LT_def_as_total,away_LT_def_comp_perc,away_LG_as_total,away_LG_compl_perc,away_LG_def_as_total,away_LG_def_comp_perc,away_M_as_total,away_M_compl_perc,away_M_def_as_total,away_M_def_comp_perc,away_RG_as_total,away_RG_compl_perc,away_RG_def_as_total,away_RG_def_comp_perc,away_RT_as_total,away_RT_compl_perc,away_RT_def_as_total,away_RT_def_comp_perc,away_RE_as_total,away_RE_compl_perc,away_RE_def_as_total,away_RE_def_comp_perc,game_type_1,game_type_2,game_type_3,game_type_4,game_type_5,game_type_6,game_type_7
0,2,KAN,DEN,-3,0,0.118421053,0.777777778,0.169491525,0.8,0.039473684,1,0.084745763,0.5,0.157894737,0.583333333,0.118644068,0.642857143,0.013157895,0,0.025423729,0.333333333,0,0,0.033898305,0.25,0.026315789,0.5,0.016949153,0,0.092105263,0.428571429,0.008474576,0,0,0,0.008474576,1,0.065789474,0.4,0.008474576,1,0.092105263,0.285714286,0.076271186,0.444444444,0.039473684,1,0.033898305,0.75,0.026315789,0.5,0.033898305,0.25,0.065789474,0.8,0.025423729,0.666666667,0.182795699,0.647058824,0.113924051,0.666666667,0.107526882,0.6,0.113924051,0.666666667,0.107526882,0.6,0.101265823,0.625,0.032258065,0,0.012658228,0,0.010752688,0,0.025316456,0,0.021505376,0.5,0.025316456,0.5,0.021505376,0.5,0,0,0.043010753,0,0.050632911,0.25,0.021505376,0.5,0.050632911,0.5,0.064516129,0.833333333,0.113924051,0.333333333,0.021505376,0.5,0.025316456,0.5,0.075268817,0.285714286,0.025316456,1,0.021505376,0,0.012658228,1,1,0,0,0,0,0,0
1,2,CHI,ARI,1.5,0,0.111111111,1,0.162962963,0.681818182,0.027777778,1,0.022222222,1,0.333333333,0.333333333,0.088888889,0.75,0,0,0.014814815,0.5,0,0,0,0,0,0,0.051851852,0.142857143,0.111111111,0.5,0.081481481,0.272727273,0,0,0.066666667,0.555555556,0.083333333,0.666666667,0.066666667,0.444444444,0,0,0,0,0.083333333,0.666666667,0.051851852,0.142857143,0.027777778,0,0.044444444,0.166666667,0.027777778,1,0.066666667,0.222222222,0.077777778,0.428571429,0.139534884,0.75,0.088888889,0.625,0.104651163,0.555555556,0.2,0.611111111,0.151162791,0.769230769,0.044444444,0.5,0.023255814,0,0.033333333,0.666666667,0.023255814,0.5,0.055555556,0.2,0.034883721,0.333333333,0.022222222,0.5,0.011627907,0,0.033333333,0,0.023255814,0,0.011111111,0,0,0,0.233333333,0.380952381,0.081395349,0.571428571,0,0,0,0,0.011111111,1,0.023255814,0.5,0.033333333,0.666666667,0.023255814,0.5,0,1,0,0,0,0,0
2,2,PIT,SFO,-5.5,1,0.142857143,0.727272727,0.142857143,1,0.077922078,0.666666667,0.098901099,0.777777778,0.116883117,0.666666667,0.076923077,0.714285714,0.051948052,0.75,0.032967033,0.333333333,0.025974026,0,0,0,0.064935065,0.8,0.054945055,0.4,0,0,0.032967033,0,0.025974026,0.5,0.021978022,0.5,0.077922078,0.5,0.043956044,0.5,0.077922078,0.333333333,0.087912088,0.375,0.090909091,0.571428571,0.021978022,0.5,0.025974026,0.5,0.032967033,1,0.038961039,0.333333333,0.021978022,0.5,0.117021277,0.545454545,0.180327869,0.909090909,0.042553191,1,0.032786885,0,0.127659574,0.916666667,0.06557377,0.75,0.042553191,0.5,0.06557377,0.5,0,0,0.016393443,0,0.053191489,0.4,0.032786885,0,0.138297872,0.846153846,0,0,0.031914894,0.666666667,0.049180328,1,0.031914894,1,0.016393443,1,0.138297872,0.461538462,0.114754098,0.428571429,0.010638298,1,0.016393443,0,0.042553191,0.75,0.016393443,0,0.063829787,0.666666667,0.016393443,0,0,1,0,0,0,0,0
3,2,BUF,NWE,1,0,0.141509434,0.733333333,0.09375,0.333333333,0.047169811,0.6,0.0625,0.5,0.169811321,0.777777778,0.203125,0.538461538,0,0,0.046875,0.333333333,0.009433962,1,0,0,0.037735849,0.25,0.0625,0.25,0.047169811,0.6,0.015625,1,0.047169811,0,0,0,0.066037736,0.285714286,0.0625,0.5,0.08490566,0.444444444,0.0625,0.25,0.08490566,0.222222222,0,0,0.047169811,0.4,0.015625,0,0.018867925,0.5,0.015625,0,0.173333333,1,0.11827957,0.727272727,0.12,0.777777778,0.064516129,0.666666667,0.093333333,0.714285714,0.096774194,0.666666667,0.04,0.333333333,0.043010753,0.75,0,0,0.021505376,0,0.066666667,0.4,0.053763441,0.8,0.04,0,0,0,0.026666667,0.5,0.021505376,0.5,0.053333333,0.5,0.064516129,0.5,0.106666667,0.375,0.064516129,0.333333333,0.026666667,0.5,0.075268817,0.571428571,0.04,1,0.021505376,0.5,0.026666667,0.5,0.032258065,0.333333333,0,1,0,0,0,0,0
4,2,CLE,TEN,1,1,0.155844156,0.666666667,0.074074074,0.333333333,0.103896104,0.75,0,0,0.181818182,0.714285714,0.086419753,0.714285714,0.051948052,0.25,0.061728395,0.2,0,0,0,0,0,0,0.012345679,1,0.025974026,0.5,0.012345679,1,0.038961039,0.666666667,0.012345679,0,0.038961039,0.333333333,0.037037037,0.333333333,0.142857143,0.545454545,0.197530864,0.5625,0,0,0.049382716,0.75,0.038961039,0.666666667,0.074074074,0.333333333,0.103896104,0.375,0.049382716,1,0.094736842,0.777777778,0.069444444,0.6,0.052631579,1,0.111111111,0.5,0.126315789,0.666666667,0.166666667,0.416666667,0.031578947,0.333333333,0,0,0,0,0.027777778,0.5,0.031578947,0.666666667,0,0,0.052631579,0.4,0.027777778,0.5,0.084210526,0.75,0.055555556,0.5,0.094736842,0.555555556,0.027777778,0,0.063157895,0.166666667,0.069444444,0.2,0.105263158,0.3,0.027777778,0.5,0.031578947,0.333333333,0.027777778,0.5,0.021052632,0,0.013888889,1,0,1,0,0,0,0,0
5,2,NYG,ATL,-2.5,0,0.162790698,0.714285714,0.192771084,0.625,0.069767442,0.5,0.096385542,0.75,0.209302326,0.777777778,0.144578313,0.916666667,0.023255814,0.5,0,0,0.011627907,1,0,0,0.023255814,0,0.012048193,0,0.069767442,0.5,0.060240964,0.8,0.034883721,0.333333333,0.036144578,0.666666667,0.011627907,0,0.024096386,0.5,0.127906977,0.545454545,0.012048193,0,0.023255814,0.5,0.036144578,0.333333333,0.023255814,1,0.036144578,1,0.023255814,0.5,0.024096386,0.5,0.096774194,1,0.1953125,0.6,0.064516129,0.75,0.109375,0.785714286,0.112903226,0.714285714,0.1640625,0.761904762,0.080645161,0.6,0.0234375,0.666666667,0.016129032,0,0,0,0.032258065,0.5,0.03125,0.5,0.080645161,0.2,0.0625,0.25,0.048387097,1,0.0234375,0.333333333,0.032258065,0.5,0.015625,0.5,0,0,0,0,0.016129032,1,0.0546875,0.285714286,0.032258065,0,0.0234375,0.333333333,0.080645161,0.6,0.046875,0.333333333,0,1,0,0,0,0,0
6,2,CAR,HOU,-3,1,0.173913043,0.6875,0.108433735,0.777777778,0.108695652,0.6,0.036144578,0.666666667,0.119565217,0.727272727,0.120481928,0.5,0.010869565,0,0.036144578,0,0,0,0.036144578,0.333333333,0.043478261,0.5,0.036144578,0,0.097826087,0.222222222,0.072289157,0.333333333,0,0,0,0,0,0,0,0,0.152173913,0.428571429,0.156626506,0.538461538,0,0,0,0,0,0,0,0,0.086956522,0.5,0.060240964,0.6,0.191919192,0.789473684,0.105263158,0.8,0.101010101,0.5,0.031578947,1,0.141414141,0.642857143,0.126315789,0.583333333,0.02020202,0.5,0.021052632,0,0.04040404,0.25,0,0,0.02020202,0,0.021052632,0.5,0.01010101,0,0.073684211,0.428571429,0.01010101,1,0,0,0.01010101,1,0.052631579,0.4,0.090909091,0.444444444,0.073684211,0.285714286,0.04040404,0.75,0.031578947,1,0.04040404,0.25,0.021052632,0.5,0.03030303,0.333333333,0.052631579,0.8,0,1,0,0,0,0,0
7,2,NOR,TAM,-10,0,0.173913043,0.75,0.065420561,0.428571429,0.130434783,0.555555556,0.074766355,0.625,0.188405797,0.769230769,0.168224299,0.611111111,0.028985507,0,0.037383178,0.5,0.028985507,0.5,0.028037383,0.666666667,0.043478261,0.333333333,0.046728972,0.2,0.014492754,0,0.018691589,0.5,0.028985507,0,0.028037383,0,0,0,0.009345794,1,0.101449275,0.571428571,0.196261682,0.380952381,0,0,0,0,0.028985507,0.5,0.009345794,1,0.028985507,0.5,0.028037383,0.666666667,0.094339623,0.6,0.078947368,0.777777778,0.150943396,0.5,0.043859649,1,0.226415094,0.416666667,0.105263158,0.666666667,0,0,0.026315789,0.333333333,0.037735849,0.5,0,0,0,0,0.026315789,0.666666667,0.037735849,0.5,0.043859649,0.4,0.056603774,0.333333333,0.078947368,0.777777778,0.037735849,0,0.078947368,0.555555556,0.094339623,0.2,0.052631579,0.166666667,0.037735849,0.5,0.087719298,0.3,0.037735849,0.5,0.026315789,0.333333333,0.018867925,1,0.01754386,0,0,1,0,0,0,0,0
8,2,CIN,LAC,-3,1,0.068965517,0.666666667,0.144578313,0.666666667,0.103448276,0.888888889,0.144578313,0.916666667,0.218390805,0.842105263,0.13253012,0.636363636,0.045977011,0.5,0.012048193,0,0.011494253,0,0,0,0.045977011,0.25,0.012048193,0,0.045977011,0.5,0.024096386,0.5,0.057471264,0.2,0.036144578,0.333333333,0.034482759,0.666666667,0.024096386,0.5,0.149425287,0.307692308,0.048192771,0.25,0.045977011,0.75,0.012048193,0,0.022988506,0,0.036144578,0,0,0,0,0,0.188888889,0.764705882,0.123287671,0.777777778,0.1,0.888888889,0.068493151,0.6,0.133333333,0.916666667,0.123287671,0.777777778,0,0,0.02739726,0,0.011111111,0,0.02739726,1,0.022222222,1,0,0,0.033333333,0.333333333,0.02739726,0.5,0,0,0.02739726,0.5,0,0,0.01369863,0,0.244444444,0.545454545,0.082191781,0.833333333,0.022222222,0,0,0,0.011111111,0,0.054794521,0.25,0,0,0.02739726,0,0,1,0,0,0,0,0
9,2,WAS,LAR,3.5,1,0.164948454,0.8125,0.088235294,0.666666667,0.092783505,0.777777778,0.058823529,0.75,0.082474227,0.375,0.191176471,0.769230769,0.020618557,0,0.014705882,0,0.030927835,1,0,0,0.030927835,0.333333333,0.073529412,0.4,0.113402062,0.545454545,0.044117647,0.333333333,0.051546392,0.6,0.029411765,0.5,0.020618557,0.5,0,0,0.06185567,1,0,0,0.092783505,0.666666667,0.029411765,0.5,0.010309278,0,0.058823529,0.5,0.06185567,0.5,0.044117647,1,0.120879121,0.727272727,0.141304348,0.769230769,0.065934066,0.833333333,0.043478261,0.75,0.175824176,0.6875,0.130434783,0.833333333,0.021978022,1,0.010869565,0,0.021978022,1,0,0,0.043956044,0.5,0,0,0.010989011,1,0.010869565,0,0.098901099,0.444444444,0.043478261,0.25,0.021978022,0.5,0.032608696,0.333333333,0.120879121,0.272727273,0.152173913,0.428571429,0.021978022,0.5,0.010869565,0,0.043956044,0.25,0,0,0.010989011,0,0.010869565,1,0,1,0,0,0,0,0
