,Week,Season,Home_team,Away_team,Home_wins,Home_losses,Away_wins,Away_losses,Home_win,Home_ppg_for,Away_ppg_for,Home_ppg_against,Away_ppg_against,Home_ypg_for,Away_ypg_for,Home_ypg_against,Away_ypg_against,Home_TO_for_total,Away_TO_for_total,Home_TO_against_total,Away_TO_against_total,Home_TO_diff,Away_TO_diff
0,3,2014,CLE,BAL,1,1,1,1,0,26.5,21.0,27.0,14.5,356.5,373.0,450.0,340.5,0.0,2.0,3.0,3.0,-3.0,-1.0
0,3,2014,NYG,HOU,0,2,2,0,1,14.0,23.5,30.0,10.0,269.0,324.0,341.5,368.0,6.0,1.0,0.0,6.0,6.0,-5.0
0,3,2014,JAX,IND,0,2,0,2,0,13.5,25.5,37.5,30.5,227.0,374.5,434.5,409.5,2.0,4.0,3.0,1.0,-1.0,3.0
0,3,2014,DET,GNB,1,1,1,1,1,21.0,23.5,19.0,30.0,370.0,322.5,255.0,355.5,3.0,2.0,2.0,2.0,1.0,0.0
0,3,2014,BUF,LAC,2,0,1,1,0,26.0,23.5,15.0,19.5,337.5,333.5,358.5,345.5,1.0,1.0,5.0,3.0,-4.0,-2.0
0,3,2014,NOR,MIN,0,2,1,1,1,29.0,20.5,31.5,18.0,434.5,286.0,446.0,305.0,4.0,4.0,1.0,2.0,3.0,2.0
0,3,2014,ARI,SFO,2,0,1,1,1,21.5,24.0,15.5,22.5,334.5,339.0,315.5,299.0,2.0,4.0,5.0,4.0,-3.0,0.0
0,3,2014,SEA,DEN,1,1,2,0,1,28.5,27.5,23.0,20.5,343.0,343.0,316.0,394.0,2.0,0.0,1.0,2.0,1.0,-2.0
0,3,2014,MIA,KAN,1,1,0,2,0,21.5,13.5,24.5,25.0,325.0,312.5,315.0,365.0,5.0,3.0,2.0,0.0,3.0,3.0
0,3,2014,CAR,PIT,2,0,1,1,0,22.0,18.0,10.5,26.5,323.5,402.0,293.5,356.0,0.0,4.0,6.0,0.0,-6.0,4.0
0,3,2014,NYJ,CHI,1,1,1,1,0,21.5,24.0,22.5,21.5,357.5,321.5,274.0,359.5,3.0,3.0,1.0,5.0,2.0,-2.0
0,4,2014,WAS,NYG,1,2,1,2,0,27.0,19.333333333333332,21.333333333333332,25.666666666666668,444.0,319.0,282.6666666666667,364.6666666666667,3.0,7.0,3.0,3.0,0.0,4.0
0,4,2014,BAL,CAR,2,1,2,1,1,21.666666666666668,21.0,16.666666666666668,19.333333333333332,374.3333333333333,332.0,352.0,347.0,3.0,2.0,3.0,6.0,0.0,-4.0
0,4,2014,CHI,GNB,2,1,1,2,0,25.0,18.0,20.666666666666668,26.333333333333332,300.0,289.3333333333333,377.6666666666667,354.6666666666667,4.0,3.0,8.0,5.0,-4.0,-2.0
0,4,2014,NYJ,DET,1,2,2,1,0,20.666666666666668,20.333333333333332,24.0,15.0,376.3333333333333,364.3333333333333,268.3333333333333,244.33333333333334,6.0,6.0,2.0,3.0,4.0,3.0
0,4,2014,HOU,BUF,2,1,2,1,1,21.333333333333332,20.666666666666668,16.666666666666668,17.333333333333332,353.0,322.3333333333333,385.0,350.0,4.0,1.0,7.0,5.0,-3.0,-4.0
0,4,2014,IND,TEN,1,2,1,2,1,31.666666666666668,14.333333333333334,26.0,23.0,426.0,348.3333333333333,387.6666666666667,304.3333333333333,4.0,4.0,4.0,5.0,0.0,-1.0
0,4,2014,PIT,TAM,2,1,0,3,0,24.333333333333332,15.0,24.0,31.666666666666668,419.3333333333333,271.0,353.6666666666667,387.0,4.0,9.0,2.0,5.0,2.0,4.0
0,4,2014,OAK,MIA,0,3,1,2,0,12.333333333333334,19.333333333333332,21.666666666666668,27.666666666666668,254.33333333333334,327.3333333333333,342.0,324.0,5.0,5.0,2.0,4.0,3.0,1.0
0,4,2014,LAC,JAX,2,1,0,3,1,23.0,14.666666666666666,16.333333333333332,39.666666666666664,333.3333333333333,266.0,327.6666666666667,466.0,1.0,5.0,3.0,3.0,-2.0,2.0
0,4,2014,MIN,ATL,1,2,2,1,1,16.666666666666668,34.333333333333336,18.666666666666668,24.0,273.0,455.0,335.3333333333333,387.0,4.0,8.0,2.0,7.0,2.0,1.0
0,4,2014,SFO,PHI,1,2,3,0,1,20.666666666666668,33.666666666666664,22.666666666666668,26.0,332.0,419.0,312.0,386.0,4.0,5.0,5.0,4.0,-1.0,1.0
0,4,2014,DAL,NOR,2,1,1,2,1,25.666666666666668,26.0,23.0,24.0,363.3333333333333,421.6666666666667,360.3333333333333,379.6666666666667,7.0,4.0,5.0,1.0,2.0,3.0
0,4,2014,KAN,NWE,1,2,2,1,1,20.333333333333332,22.0,21.666666666666668,16.333333333333332,322.3333333333333,301.3333333333333,354.0,272.6666666666667,5.0,2.0,0.0,8.0,5.0,-6.0
0,5,2014,GNB,MIN,2,2,2,2,1,23.0,22.75,24.0,21.0,306.5,344.25,390.0,354.25,3.0,4.0,7.0,4.0,-4.0,0.0
0,5,2014,TEN,CLE,1,3,1,2,0,15.0,24.666666666666668,27.5,25.666666666666668,326.5,362.6666666666667,352.75,425.6666666666667,7.0,0.0,6.0,4.0,1.0,-4.0
0,5,2014,JAX,PIT,0,4,2,2,0,14.5,24.25,38.0,24.75,279.5,412.0,451.25,352.75,8.0,5.0,3.0,3.0,5.0,2.0
